nohup: 忽略输入
[I 2025-09-28 20:17:19,721] Trial 26 finished with value: 1.965991735458374 and parameters: {'out_channels1': 5, 'kernel_size1': 2, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 228}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:23,561] Trial 27 finished with value: 1.9727548360824585 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 188}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:27,242] Trial 28 finished with value: 1.9590775966644287 and parameters: {'out_channels1': 6, 'kernel_size1': 2, 'dropout_rate': 0.2, 'hidden_dim': 108}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:29,669] Trial 29 finished with value: 1.9125571250915527 and parameters: {'out_channels1': 4, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 74}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:32,896] Trial 30 finished with value: 1.9580601453781128 and parameters: {'out_channels1': 4, 'kernel_size1': 2, 'dropout_rate': 0.4, 'hidden_dim': 255}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:36,379] Trial 31 finished with value: 1.9695193767547607 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 195}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:41,093] Trial 32 finished with value: 1.95037841796875 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 176}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:44,316] Trial 33 finished with value: 1.9742830991744995 and parameters: {'out_channels1': 9, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 239}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:50,764] Trial 34 finished with value: 1.9630165100097656 and parameters: {'out_channels1': 11, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 236}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:17:57,592] Trial 35 finished with value: 1.902358055114746 and parameters: {'out_channels1': 10, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 238}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:00,483] Trial 36 finished with value: 1.958397626876831 and parameters: {'out_channels1': 9, 'kernel_size1': 2, 'dropout_rate': 0.5, 'hidden_dim': 207}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:02,700] Trial 37 finished with value: 1.9385160207748413 and parameters: {'out_channels1': 11, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 225}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:07,186] Trial 38 finished with value: 1.911933183670044 and parameters: {'out_channels1': 14, 'kernel_size1': 2, 'dropout_rate': 0.4, 'hidden_dim': 117}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:09,376] Trial 39 finished with value: 1.974806547164917 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 146}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:12,521] Trial 40 finished with value: 1.968287706375122 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 138}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:16,428] Trial 41 finished with value: 1.9536519050598145 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 158}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:19,270] Trial 42 finished with value: 1.9644663333892822 and parameters: {'out_channels1': 4, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 169}. Best is trial 6 with value: 1.9767435789108276.
[I 2025-09-28 20:18:24,405] Trial 43 finished with value: 1.9781925678253174 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 244}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:27,338] Trial 44 finished with value: 1.9780619144439697 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 243}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:30,266] Trial 45 finished with value: 1.9748671054840088 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:33,195] Trial 46 finished with value: 1.9748671054840088 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:36,395] Trial 47 finished with value: 1.9326454401016235 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 229}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:39,593] Trial 48 finished with value: 1.9763554334640503 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 219}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:43,544] Trial 49 finished with value: 1.9536476135253906 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.4, 'hidden_dim': 218}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:46,911] Trial 50 finished with value: 1.957782506942749 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 209}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:49,308] Trial 51 finished with value: 1.9753326177597046 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 244}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:18:53,878] Trial 52 finished with value: 1.9675929546356201 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 233}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:00,007] Trial 53 finished with value: 1.9553256034851074 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 256}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:03,262] Trial 54 finished with value: 1.9744765758514404 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:05,153] Trial 55 finished with value: 1.9415595531463623 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 219}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:09,358] Trial 56 finished with value: 1.9330625534057617 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 229}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:12,721] Trial 57 finished with value: 1.9578721523284912 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 204}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:15,189] Trial 58 finished with value: 1.9422322511672974 and parameters: {'out_channels1': 5, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 248}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:20,037] Trial 59 finished with value: 1.9171000719070435 and parameters: {'out_channels1': 15, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 193}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:23,545] Trial 60 finished with value: 1.900464415550232 and parameters: {'out_channels1': 9, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 214}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:27,503] Trial 61 finished with value: 1.9737303256988525 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 241}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:30,438] Trial 62 finished with value: 1.9748671054840088 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 245}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:34,582] Trial 63 finished with value: 1.971494197845459 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 224}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:39,565] Trial 64 finished with value: 1.9675657749176025 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 256}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:42,972] Trial 65 finished with value: 1.973466157913208 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 233}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:47,564] Trial 66 finished with value: 1.9483027458190918 and parameters: {'out_channels1': 8, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 250}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:50,340] Trial 67 finished with value: 1.9722267389297485 and parameters: {'out_channels1': 6, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 240}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:52,699] Trial 68 finished with value: 1.9544190168380737 and parameters: {'out_channels1': 7, 'kernel_size1': 3, 'dropout_rate': 0.30000000000000004, 'hidden_dim': 223}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:56,357] Trial 69 finished with value: 1.9608845710754395 and parameters: {'out_channels1': 10, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 233}. Best is trial 43 with value: 1.9781925678253174.
[I 2025-09-28 20:19:59,312] Trial 70 finished with value: 1.9342666864395142 and parameters: {'out_channels1': 4, 'kernel_size1': 3, 'dropout_rate': 0.2, 'hidden_dim': 250}. Best is trial 43 with value: 1.9781925678253174.
