nohup: 忽略输入
[I 2025-09-25 20:59:28,923] Trial 28 finished with value: 1.9487392142546198 and parameters: {'hidden_size_1': 46, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:30,808] Trial 29 finished with value: 1.9758801601967493 and parameters: {'hidden_size_1': 189, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:32,541] Trial 30 finished with value: 1.9747167072906244 and parameters: {'hidden_size_1': 196, 'dropout_rate': 0.4, 'J': 3, 'Q': 2}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:34,255] Trial 31 finished with value: 1.968887970582354 and parameters: {'hidden_size_1': 195, 'dropout_rate': 0.4, 'J': 3, 'Q': 2}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:36,121] Trial 32 finished with value: 1.9711227986592201 and parameters: {'hidden_size_1': 211, 'dropout_rate': 0.4, 'J': 3, 'Q': 1}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:38,018] Trial 33 finished with value: 1.9733861542696445 and parameters: {'hidden_size_1': 233, 'dropout_rate': 0.4, 'J': 3, 'Q': 2}. Best is trial 11 with value: 1.9781261244103567.
[I 2025-09-25 20:59:40,003] Trial 34 finished with value: 1.9808936358274547 and parameters: {'hidden_size_1': 199, 'dropout_rate': 0.4, 'J': 3, 'Q': 1}. Best is trial 34 with value: 1.9808936358274547.
[I 2025-09-25 20:59:41,593] Trial 35 finished with value: 1.9665899223291476 and parameters: {'hidden_size_1': 164, 'dropout_rate': 0.4, 'J': 3, 'Q': 1}. Best is trial 34 with value: 1.9808936358274547.
[I 2025-09-25 20:59:43,150] Trial 36 finished with value: 1.9696784100044726 and parameters: {'hidden_size_1': 180, 'dropout_rate': 0.5, 'J': 3, 'Q': 1}. Best is trial 34 with value: 1.9808936358274547.
[I 2025-09-25 20:59:44,571] Trial 37 finished with value: 1.9806514465576504 and parameters: {'hidden_size_1': 210, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 34 with value: 1.9808936358274547.
[I 2025-09-25 20:59:45,825] Trial 38 finished with value: 1.9721928991641156 and parameters: {'hidden_size_1': 217, 'dropout_rate': 0.5, 'J': 3, 'Q': 1}. Best is trial 34 with value: 1.9808936358274547.
[I 2025-09-25 20:59:47,158] Trial 39 finished with value: 1.9828530550735115 and parameters: {'hidden_size_1': 206, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:48,522] Trial 40 finished with value: 1.976253170549606 and parameters: {'hidden_size_1': 242, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:49,744] Trial 41 finished with value: 1.9680833266710602 and parameters: {'hidden_size_1': 208, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:51,092] Trial 42 finished with value: 1.9757710443139977 and parameters: {'hidden_size_1': 226, 'dropout_rate': 0.2, 'J': 3, 'Q': 4}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:52,257] Trial 43 finished with value: 1.9783806068529102 and parameters: {'hidden_size_1': 205, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:53,611] Trial 44 finished with value: 1.9778193558835437 and parameters: {'hidden_size_1': 204, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:55,379] Trial 45 finished with value: 1.9615830250690194 and parameters: {'hidden_size_1': 179, 'dropout_rate': 0.4, 'J': 1, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:56,648] Trial 46 finished with value: 1.9728607543004524 and parameters: {'hidden_size_1': 247, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:57,795] Trial 47 finished with value: 1.9739731981446504 and parameters: {'hidden_size_1': 225, 'dropout_rate': 0.30000000000000004, 'J': 2, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 20:59:59,314] Trial 48 finished with value: 1.970966721303936 and parameters: {'hidden_size_1': 154, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:00,498] Trial 49 finished with value: 1.9689951957014784 and parameters: {'hidden_size_1': 172, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:01,787] Trial 50 finished with value: 1.9653254806959803 and parameters: {'hidden_size_1': 199, 'dropout_rate': 0.30000000000000004, 'J': 1, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:02,972] Trial 51 finished with value: 1.9744331668770947 and parameters: {'hidden_size_1': 212, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:04,066] Trial 52 finished with value: 1.979208791087801 and parameters: {'hidden_size_1': 202, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:05,214] Trial 53 finished with value: 1.9789785669331152 and parameters: {'hidden_size_1': 234, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:06,522] Trial 54 finished with value: 1.97641274614533 and parameters: {'hidden_size_1': 235, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:07,866] Trial 55 finished with value: 1.9777639564460179 and parameters: {'hidden_size_1': 219, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:08,957] Trial 56 finished with value: 1.9802712232532742 and parameters: {'hidden_size_1': 248, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:09,924] Trial 57 finished with value: 1.9757241017953584 and parameters: {'hidden_size_1': 249, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:10,824] Trial 58 finished with value: 1.9570652488693623 and parameters: {'hidden_size_1': 234, 'dropout_rate': 0.4, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:12,020] Trial 59 finished with value: 1.9726348152991995 and parameters: {'hidden_size_1': 188, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:13,138] Trial 60 finished with value: 1.9636636279534105 and parameters: {'hidden_size_1': 240, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:14,388] Trial 61 finished with value: 1.976093480975846 and parameters: {'hidden_size_1': 225, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:15,503] Trial 62 finished with value: 1.9742755460201646 and parameters: {'hidden_size_1': 253, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:16,454] Trial 63 finished with value: 1.9642856211122184 and parameters: {'hidden_size_1': 201, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:17,455] Trial 64 finished with value: 1.9744331668770947 and parameters: {'hidden_size_1': 212, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:18,371] Trial 65 finished with value: 1.9756679964055603 and parameters: {'hidden_size_1': 229, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:19,521] Trial 66 finished with value: 1.9608713220055354 and parameters: {'hidden_size_1': 217, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:20,494] Trial 67 finished with value: 1.9729720992311783 and parameters: {'hidden_size_1': 192, 'dropout_rate': 0.2, 'J': 3, 'Q': 2}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:21,535] Trial 68 finished with value: 1.9822770729311108 and parameters: {'hidden_size_1': 242, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:22,513] Trial 69 finished with value: 1.9765882887824229 and parameters: {'hidden_size_1': 256, 'dropout_rate': 0.4, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:23,748] Trial 70 finished with value: 1.9706740081785288 and parameters: {'hidden_size_1': 235, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:24,766] Trial 71 finished with value: 1.9787325709240489 and parameters: {'hidden_size_1': 243, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:25,713] Trial 72 finished with value: 1.9787325709240489 and parameters: {'hidden_size_1': 243, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:26,592] Trial 73 finished with value: 1.9796698744003303 and parameters: {'hidden_size_1': 248, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:27,566] Trial 74 finished with value: 1.971891543921548 and parameters: {'hidden_size_1': 248, 'dropout_rate': 0.5, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:28,867] Trial 75 finished with value: 1.9760489482823358 and parameters: {'hidden_size_1': 222, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:30,461] Trial 76 finished with value: 1.9727490818399005 and parameters: {'hidden_size_1': 230, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:31,627] Trial 77 finished with value: 1.978635314001676 and parameters: {'hidden_size_1': 238, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:33,144] Trial 78 finished with value: 1.9735143607899936 and parameters: {'hidden_size_1': 252, 'dropout_rate': 0.30000000000000004, 'J': 3, 'Q': 4}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:34,766] Trial 79 finished with value: 1.9736373161275984 and parameters: {'hidden_size_1': 183, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:36,312] Trial 80 finished with value: 1.9778751719262666 and parameters: {'hidden_size_1': 213, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:37,513] Trial 81 finished with value: 1.9787325709240489 and parameters: {'hidden_size_1': 243, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:38,655] Trial 82 finished with value: 1.9741606355305854 and parameters: {'hidden_size_1': 244, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:40,188] Trial 83 finished with value: 1.9727490818399005 and parameters: {'hidden_size_1': 230, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:41,570] Trial 84 finished with value: 1.9804127277464236 and parameters: {'hidden_size_1': 221, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:43,270] Trial 85 finished with value: 1.9804127277464236 and parameters: {'hidden_size_1': 221, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:44,724] Trial 86 finished with value: 1.9680833266710602 and parameters: {'hidden_size_1': 208, 'dropout_rate': 0.2, 'J': 3, 'Q': 3}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:46,357] Trial 87 finished with value: 1.969341347145845 and parameters: {'hidden_size_1': 222, 'dropout_rate': 0.4, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
[I 2025-09-25 21:00:47,719] Trial 88 finished with value: 1.9751197079872655 and parameters: {'hidden_size_1': 196, 'dropout_rate': 0.2, 'J': 3, 'Q': 1}. Best is trial 39 with value: 1.9828530550735115.
